id,img_name,source,anger,disgust,fear,joy,neutral,sadness,surprise
044_faceplusplus,044,faceplusplus,0.219,0.007,0.106,97.491,1.035,1.135,0.007
045_faceplusplus,045,faceplusplus,0.081,0.002,0.06,99.373,0.109,0.373,0.002
046_faceplusplus,046,faceplusplus,0.01,0.01,1.098,98.516,0.123,0.234,0.01
047_faceplusplus,047,faceplusplus,0.052,0.005,0.064,99.394,0.417,0.064,0.005
048_faceplusplus,048,faceplusplus,0.063,0.015,4.523,94.848,0.198,0.338,0.015
049_faceplusplus,049,faceplusplus,0.017,0.027,3.025,96.561,0.296,0.056,0.017
050_faceplusplus,050,faceplusplus,0.001,0.0,0.001,99.994,0.004,0.0,0.001
051_faceplusplus,051,faceplusplus,0.003,0.002,0.029,99.527,0.313,0.123,0.002
052_faceplusplus,052,faceplusplus,2.742,0.009,0.632,96.111,0.382,0.115,0.009
053_faceplusplus,053,faceplusplus,0.144,0.009,1.34,97.737,0.316,0.445,0.009
054_faceplusplus,054,faceplusplus,0.002,0.188,92.651,6.871,0.283,0.002,0.002
055_faceplusplus,055,faceplusplus,0.012,0.116,36.129,59.809,3.898,0.025,0.012
056_faceplusplus,056,faceplusplus,0.025,5.134,0.576,87.735,6.463,0.042,0.025
057_faceplusplus,057,faceplusplus,0.047,0.496,12.62,78.126,4.531,4.134,0.047
058_faceplusplus,058,faceplusplus,0.024,0.031,4.01,22.056,73.464,0.392,0.024
059_faceplusplus,059,faceplusplus,0.002,0.024,2.31,0.258,97.347,0.054,0.004
060_faceplusplus,060,faceplusplus,0.088,2.198,8.184,17.409,45.273,26.759,0.088
061_faceplusplus,061,faceplusplus,0.002,0.002,0.467,3.637,95.708,0.182,0.002
062_faceplusplus,062,faceplusplus,0.0,0.0,0.0,0.087,99.911,0.002,0.0
063_faceplusplus,063,faceplusplus,0.0,0.0,0.007,0.189,99.802,0.002,0.0
064_faceplusplus,064,faceplusplus,0.0,0.0,0.003,0.152,99.841,0.003,0.0
065_faceplusplus,065,faceplusplus,0.003,0.003,0.78,1.372,89.121,8.717,0.004
066_faceplusplus,066,faceplusplus,0.0,0.0,0.0,0.024,99.639,0.337,0.0
067_faceplusplus,067,faceplusplus,0.0,0.0,0.0,0.015,99.971,0.014,0.0
068_faceplusplus,068,faceplusplus,0.0,0.0,0.0,0.004,99.987,0.009,0.0
069_faceplusplus,069,faceplusplus,0.0,0.0,0.0,0.002,99.924,0.074,0.0
070_faceplusplus,070,faceplusplus,0.0,0.0,0.0,0.053,99.829,0.117,0.0
071_faceplusplus,071,faceplusplus,0.0,0.0,0.0,0.011,99.846,0.143,0.0
072_faceplusplus,072,faceplusplus,0.0,0.0,0.0,0.025,95.291,4.681,0.001
073_faceplusplus,073,faceplusplus,0.0,0.0,0.0,0.002,99.967,0.03,0.0
074_faceplusplus,074,faceplusplus,0.0,0.0,0.0,0.001,80.364,19.633,0.001
075_faceplusplus,075,faceplusplus,0.002,0.002,0.002,0.047,99.563,0.295,0.089
076_faceplusplus,076,faceplusplus,0.02,0.02,0.02,0.169,88.047,1.502,10.223
077_faceplusplus,077,faceplusplus,0.004,0.004,0.015,0.004,1.707,0.353,97.912
078_faceplusplus,078,faceplusplus,0.0,0.0,0.0,0.0,0.009,0.0,99.99
079_faceplusplus,079,faceplusplus,0.0,0.0,0.0,0.0,0.007,0.0,99.992
080_faceplusplus,080,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
081_faceplusplus,081,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
082_faceplusplus,082,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.001,99.999
083_faceplusplus,083,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
084_faceplusplus,084,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
085_faceplusplus,085,faceplusplus,0.0,0.001,0.0,0.0,0.0,0.0,99.999
086_faceplusplus,086,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
087_faceplusplus,087,faceplusplus,0.0,0.0,0.0,0.0,0.001,0.0,99.999
088_faceplusplus,088,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
089_faceplusplus,089,faceplusplus,0.0,0.0,0.0,0.0,0.009,0.0,99.991
090_faceplusplus,090,faceplusplus,0.0,0.0,0.0,0.0,0.001,0.0,99.999
091_faceplusplus,091,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
092_faceplusplus,092,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.001,99.998
093_faceplusplus,093,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
094_faceplusplus,094,faceplusplus,0.0,0.0,0.0,0.0,0.001,0.0,99.999
095_faceplusplus,095,faceplusplus,0.0,0.0,0.0,0.003,0.0,0.0,99.996
096_faceplusplus,096,faceplusplus,0.0,0.0,0.0,0.0,0.0,0.0,100.0
097_faceplusplus,097,faceplusplus,0.0,0.0,0.0,0.008,0.011,0.006,99.975
098_faceplusplus,098,faceplusplus,0.0,0.0,0.0,0.001,0.003,0.001,99.995
099_faceplusplus,099,faceplusplus,0.0,0.0,0.0,0.0,0.002,0.0,99.998
